Y_Date,Y
28-12-2023,33800
27-12-2023,33750
26-12-2023,33800
19-12-2023,33550
14-12-2023,33800
13-12-2023,33550
12-12-2023,33500
07-12-2023,33800
06-12-2023,33700
30-11-2023,33750
29-11-2023,33550
28-11-2023,33350
27-11-2023,33550
22-11-2023,33300
21-11-2023,33050
20-11-2023,32950
16-11-2023,33100
15-11-2023,33050
14-11-2023,33200
09-11-2023,32800
08-11-2023,33100
07-11-2023,33300
06-11-2023,33500
02-11-2023,33850
01-11-2023,34000
31-10-2023,34000
30-10-2023,34150
26-10-2023,34100
25-10-2023,33750
24-10-2023,33900
19-10-2023,33600
18-10-2023,33250
17-10-2023,32950
16-10-2023,32950
12-10-2023,32300
11-10-2023,32250
10-10-2023,32550
09-10-2023,32450
05-10-2023,31950
04-10-2023,32000
03-10-2023,31900
28-09-2023,32600
27-09-2023,32850
26-09-2023,32900
25-09-2023,32800
21-09-2023,32950
20-09-2023,32950
19-09-2023,32600
18-09-2023,32500
14-09-2023,32300
13-09-2023,32300
12-09-2023,32350
11-09-2023,32300
29-08-2023,32000
24-08-2023,31750
16-08-2023,31950
08-08-2023,31950
07-08-2023,31850
27-07-2023,32000
26-07-2023,32050
20-07-2023,31850
17-07-2023,32050
06-07-2023,31850
05-07-2023,31900
27-06-2023,32150
22-06-2023,31900
13-06-2023,32100
07-06-2023,32300
01-06-2023,32250
23-05-2023,32150
22-05-2023,32200
17-05-2023,32250
11-05-2023,32400
08-05-2023,32450
03-05-2023,32150
27-04-2023,32250
19-04-2023,32600
03-04-2023,31850
29-03-2023,31900
27-03-2023,32050
23-03-2023,31850
09-03-2023,30150
08-03-2023,30150
22-02-2023,30100
21-02-2023,30050
16-02-2023,29800
13-02-2023,29750
02-02-2023,30200
31-01-2023,29900
24-01-2023,29950
23-01-2023,29900
19-01-2023,29850
12-01-2023,29750
11-01-2023,29800
09-01-2023,29800
29-12-2022,29700
28-12-2022,29750
27-12-2022,29600
22-12-2022,29800
21-12-2022,29800
19-12-2022,29550
14-12-2022,29650
07-12-2022,29500
06-12-2022,29450
29-11-2022,29550
23-11-2022,29800
21-11-2022,29800
16-11-2022,29950
09-11-2022,29800
01-11-2022,29550
12-10-2022,30100
11-10-2022,30050
04-10-2022,30350
03-10-2022,29850
26-09-2022,29400
21-09-2022,29300
20-09-2022,29300
14-09-2022,29600
31-08-2022,29850
30-08-2022,29900
29-08-2022,29800
25-08-2022,29850
23-08-2022,29800
22-08-2022,29700
16-08-2022,29950
15-08-2022,30100
10-08-2022,30050
09-08-2022,30000
04-08-2022,30300
02-08-2022,30350
01-08-2022,30300
26-07-2022,29950
25-07-2022,29950
18-07-2022,29700
14-07-2022,29750
05-07-2022,30550
30-06-2022,30400
29-06-2022,30250
27-06-2022,30750
23-06-2022,30750
16-06-2022,30300
15-06-2022,30200
14-06-2022,30250
13-06-2022,30650
08-06-2022,30200
25-05-2022,30150
24-05-2022,30000
17-05-2022,29950
12-05-2022,30500
11-05-2022,30200
10-05-2022,30450
28-04-2022,30700
05-04-2022,30600
31-03-2022,30400
07-03-2022,30700
03-03-2022,29700
01-03-2022,29400
21-02-2022,28850
10-02-2022,28400
27-01-2022,28550
25-01-2022,28750
21-01-2022,28700
18-01-2022,28450
14-01-2022,28650
13-01-2022,28750
12-01-2022,28700
10-01-2022,28650
07-01-2022,28500
04-01-2022,28500
29-12-2021,28700
23-12-2021,28700
22-12-2021,28600
20-12-2021,28550
16-12-2021,28200
15-12-2021,28100
08-12-2021,28400
03-12-2021,28500
01-12-2021,28400
30-11-2021,28500
29-11-2021,28650
24-11-2021,28250
23-11-2021,28350
22-11-2021,28750
18-11-2021,28850
17-11-2021,28800
16-11-2021,28900
11-11-2021,28700
09-11-2021,28350
08-11-2021,28500
05-11-2021,28350
04-11-2021,28050
03-11-2021,28200
01-11-2021,28200
29-10-2021,28250
27-10-2021,28150
26-10-2021,28250
25-10-2021,28300
21-10-2021,28250
20-10-2021,28050
19-10-2021,28000
15-10-2021,28250
12-10-2021,27900
08-10-2021,28200
07-10-2021,28200
06-10-2021,28200
05-10-2021,28250
04-10-2021,28050
01-10-2021,28000
30-09-2021,27850
29-09-2021,27900
28-09-2021,27900
27-09-2021,27800
23-09-2021,28050
22-09-2021,28150
21-09-2021,27900
20-09-2021,27650
17-09-2021,27650
16-09-2021,28000
15-09-2021,28150
14-09-2021,27900
13-09-2021,27750
10-09-2021,27850
09-09-2021,27750
08-09-2021,27950
07-09-2021,28100
06-09-2021,28100
03-09-2021,27900
01-09-2021,27800
31-08-2021,27850
30-08-2021,28000
27-08-2021,27850
26-08-2021,27800
25-08-2021,28050
24-08-2021,28300
23-08-2021,28150
20-08-2021,28150
19-08-2021,28150
18-08-2021,28100
17-08-2021,28250
16-08-2021,28050
13-08-2021,27550
11-08-2021,27400
10-08-2021,27550
09-08-2021,27550
06-08-2021,28450
05-08-2021,28350
04-08-2021,28350
03-08-2021,28250
02-08-2021,28300
30-07-2021,28400
29-07-2021,28250
27-07-2021,28000
23-07-2021,28100
22-07-2021,28000
21-07-2021,28100
20-07-2021,28200
19-07-2021,28200
16-07-2021,28300
15-07-2021,28200
14-07-2021,27950
13-07-2021,27950
12-07-2021,27900
09-07-2021,27900
08-07-2021,27600
07-07-2021,27550
06-07-2021,27350
05-07-2021,27150
02-07-2021,27050
01-07-2021,26850
30-06-2021,26800
29-06-2021,26950
28-06-2021,26850
25-06-2021,26800
24-06-2021,26850
23-06-2021,26800
22-06-2021,26750
21-06-2021,26500
18-06-2021,26550
17-06-2021,27100
16-06-2021,27400
15-06-2021,27450
14-06-2021,27550
11-06-2021,27950
10-06-2021,27800
09-06-2021,27900
08-06-2021,28000
07-06-2021,27850
04-06-2021,27600
02-06-2021,28000
01-06-2021,28200
31-05-2021,28200
28-05-2021,28050
27-05-2021,28050
25-05-2021,27800
24-05-2021,28000
